first,best
123763,125068
123763,124759
123763,125078
123763,125987
123763,127175
123763,125068
123763,124215
123763,126689
123659,124701
123659,124639
123659,125068
123659,124759
123659,125078
123659,125987
123659,127175
123659,125068
123659,124215
123659,126689
124176,124701
124176,124639
124176,125068
124176,124759
124176,125078
124176,125987
124176,127175
124176,125068
124176,124215
124176,126689
123765,124701
123765,124639
123765,125068
123765,124759
123765,125078
123765,125987
123765,127175
123765,125068
123765,124215
123765,126689
124272,124701
124272,124639
124272,125068
124272,124759
124272,125078
124272,125987
124272,127175
124272,125068
124272,124215
124272,126689
124181,124701
124181,124639
124181,125068
124181,124759
124181,125078
124181,125987
124181,127175
124181,125068
124181,124215
124181,126689
123665,124701
123665,124639
123665,125068
123665,124759
123665,125078
123665,125987
123665,127175
123665,125068
123665,124215
123665,126689
128311,126981
128311,127470
128311,127983
128311,128148
128311,127810
128311,126883
128311,127105
128311,127459
128311,128301
128311,128375
126248,126981
126248,127470
126248,127983
126248,128148
126248,127810
126248,126883
126248,127105
126248,127459
126248,128301
126248,128375
128312,126981
128312,127470
128312,127983
128312,128148
128312,127810
128312,126883
128312,127105
128312,127459
128312,128301
128312,128375
126447,126981
126447,127470
126447,127983
126447,128148
126447,127810
126447,126883
126447,127105
126447,127459
126447,128301
126447,128375
126765,126981
126765,127470
126765,127983
126765,128148
126765,127810
126765,126883
126765,127105
126765,127459
126765,128301
126765,128375
127348,126981
127348,127470
127348,127983
127348,128148
127348,127810
127348,126883
127348,127105
127348,127459
127348,128301
127348,128375
127613,126981
127613,127470
127613,127983
127613,128148
127613,127810
127613,126883
127613,127105
127613,127459
127613,128301
127613,128375
127143,126981
127143,127470
127143,127983
127143,128148
127143,127810
127143,126883
127143,127105
127143,127459
127143,128301
127143,128375
128299,126981
128299,127470
128299,127983
128299,128148
128299,127810
128299,126883
128299,127105
128299,127459
128299,128301
128299,128375
125910,126981
125910,127470
125910,127983
125910,128148
125910,127810
125910,126883
125910,127105
125910,127459
125910,128301
125910,128375
125820,126438
125820,128229
125820,128655
125820,127355
125820,127198
125820,126969
125820,127140
125820,128401
125820,130237
125820,128932
126596,126438
126596,128229
126596,128655
126596,127355
126596,127198
126596,126969
126596,127140
126596,128401
126596,130237
126596,128932
128297,126438
128297,128229
128297,128655
128297,127355
128297,127198
128297,126969
128297,127140
128297,128401
128297,130237
128297,128932
125842,126438
125842,128229
125842,128655
125842,127355
125842,127198
125842,126969
125842,127140
125842,128401
125842,130237
125842,128932
127250,126438
127250,128229
127250,128655
127250,127355
127250,127198
127250,126969
127250,127140
127250,128401
127250,130237
127250,128932
128008,126438
128008,128229
128008,128655
128008,127355
128008,127198
128008,126969
128008,127140
128008,128401
128008,130237
128008,128932
125515,126438
125515,128229
125515,128655
125515,127355
125515,127198
125515,126969
125515,127140
125515,128401
125515,130237
125515,128932
126742,126438
126742,128229
126742,128655
126742,127355
126742,127198
126742,126969
126742,127140
126742,128401
126742,130237
126742,128932
127560,126438
127560,128229
127560,128655
127560,127355
127560,127198
127560,126969
127560,127140
127560,128401
127560,130237
127560,128932
126554,126438
126554,128229
126554,128655
126554,127355
126554,127198
126554,126969
126554,127140
126554,128401
126554,130237
126554,128932
125145,126297
125145,125336
125145,126672
125145,126811
125145,127106
125145,126471
125145,124800
125145,127651
125145,126595
125145,126734
126368,126297
126368,125336
126368,126672
126368,126811
126368,127106
126368,126471
126368,124800
126368,127651
126368,126595
126368,126734
124315,126297
124315,125336
124315,126672
124315,126811
124315,127106
124315,126471
124315,124800
124315,127651
124315,126595
124315,126734
126080,126297
126080,125336
126080,126672
126080,126811
126080,127106
126080,126471
126080,124800
126080,127651
126080,126595
126080,126734
125109,126297
125109,125336
125109,126672
125109,126811
125109,127106
125109,126471
125109,124800
125109,127651
125109,126595
125109,126734
125153,126297
125153,125336
125153,126672
125153,126811
125153,127106
125153,126471
125153,124800
125153,127651
125153,126595
125153,126734
125455,126297
125455,125336
125455,126672
125455,126811
125455,127106
125455,126471
125455,124800
125455,127651
125455,126595
125455,126734
125438,126297
125438,125336
125438,126672
125438,126811
125438,127106
125438,126471
125438,124800
125438,127651
125438,126595
125438,126734
125197,126297
125197,125336
125197,126672
125197,126811
125197,127106
125197,126471
125197,124800
125197,127651
125197,126595
125197,126734
125430,126297
125430,125336
125430,126672
125430,126811
125430,127106
125430,126471
125430,124800
125430,127651
125430,126595
125430,126734
127786,129360
127786,130732
127786,127756
127786,127742
127786,129080
127786,129100
127786,128566
127786,128285
127786,128834
127786,131451
128065,129360
128065,130732
128065,127756
128065,127742
128065,129080
128065,129100
128065,128566
128065,128285
128065,128834
128065,131451
127910,129360
127910,130732
127910,127756
127910,127742
127910,129080
127910,129100
127910,128566
127910,128285
127910,128834
127910,131451
127646,129360
127646,130732
127646,127756
127646,127742
127646,129080
127646,129100
127646,128566
127646,128285
127646,128834
127646,131451
126390,129360
126390,130732
126390,127756
126390,127742
126390,129080
126390,129100
126390,128566
126390,128285
126390,128834
126390,131451
127079,129360
127079,130732
127079,127756
127079,127742
127079,129080
127079,129100
127079,128566
127079,128285
127079,128834
127079,131451
128298,129360
128298,130732
128298,127756
128298,127742
128298,129080
128298,129100
128298,128566
128298,128285
128298,128834
128298,131451
128695,129360
128695,130732
128695,127756
128695,127742
128695,129080
128695,129100
128695,128566
128695,128285
128695,128834
128695,131451
128347,129360
128347,130732
128347,127756
128347,127742
128347,129080
128347,129100
128347,128566
128347,128285
128347,128834
128347,131451
128669,129360
128669,130732
128669,127756
128669,127742
128669,129080
128669,129100
128669,128566
128669,128285
128669,128834
128669,131451
380362,387554
380362,387527
380362,385461
380362,384689
380362,388566
380362,389363
380362,384733
380362,385453
380362,380314
380362,389061
379657,387554
379657,387527
379657,385461
379657,384689
379657,388566
379657,389363
379657,384733
379657,385453
379657,380314
379657,389061
378490,387554
378490,387527
378490,385461
378490,384689
378490,388566
378490,389363
378490,384733
378490,385453
378490,380314
378490,389061
377429,387554
377429,387527
377429,385461
377429,384689
377429,388566
377429,389363
377429,384733
377429,385453
377429,380314
377429,389061
381638,387554
381638,387527
381638,385461
381638,384689
381638,388566
381638,389363
381638,384733
381638,385453
381638,380314
381638,389061
383189,387554
383189,387527
383189,385461
383189,384689
383189,388566
383189,389363
383189,384733
383189,385453
383189,380314
383189,389061
380372,387554
380372,387527
380372,385461
380372,384689
380372,388566
380372,389363
380372,384733
380372,385453
380372,380314
380372,389061
379784,387554
379784,387527
379784,385461
379784,384689
379784,388566
379784,389363
379784,384733
379784,385453
379784,380314
379784,389061
379285,387554
379285,387527
379285,385461
379285,384689
379285,388566
379285,389363
379285,384733
379285,385453
379285,380314
379285,389061
378063,387554
378063,387527
378063,385461
378063,384689
378063,388566
378063,389363
378063,384733
378063,385453
378063,380314
378063,389061
385332,389588
385332,390383
385332,391123
385332,387130
385332,394119
385332,393889
385332,392059
385332,384040
385332,390235
385332,395901
387622,389588
387622,390383
387622,391123
387622,387130
387622,394119
387622,393889
387622,392059
387622,384040
387622,390235
387622,395901
386305,389588
386305,390383
386305,391123
386305,387130
386305,394119
386305,393889
386305,392059
386305,384040
386305,390235
386305,395901
389810,389588
389810,390383
389810,391123
389810,387130
389810,394119
389810,393889
389810,392059
389810,384040
389810,390235
389810,395901
389378,389588
389378,390383
389378,391123
389378,387130
389378,394119
389378,393889
389378,392059
389378,384040
389378,390235
389378,395901
389254,389588
389254,390383
389254,391123
389254,387130
389254,394119
389254,393889
389254,392059
389254,384040
389254,390235
389254,395901
390592,389588
390592,390383
390592,391123
390592,387130
390592,394119
390592,393889
390592,392059
390592,384040
390592,390235
390592,395901
386233,389588
386233,390383
386233,391123
386233,387130
386233,394119
386233,393889
386233,392059
386233,384040
386233,390235
386233,395901
387081,389588
387081,390383
387081,391123
387081,387130
387081,394119
387081,393889
387081,392059
387081,384040
387081,390235
387081,395901
385592,389588
385592,390383
385592,391123
385592,387130
385592,394119
385592,393889
385592,392059
385592,384040
385592,390235
385592,395901
381118,384834
381118,384815
381118,388464
381118,396355
381118,383299
381118,385666
381118,389844
381118,385514
381118,387438
381118,385625
386712,384834
386712,384815
386712,388464
386712,396355
386712,383299
386712,385666
386712,389844
386712,385514
386712,387438
386712,385625
382344,384834
382344,384815
382344,388464
382344,396355
382344,383299
382344,385666
382344,389844
382344,385514
382344,387438
382344,385625
386474,384834
386474,384815
386474,388464
386474,396355
386474,383299
386474,385666
386474,389844
386474,385514
386474,387438
386474,385625
381339,384834
381339,384815
381339,388464
381339,396355
381339,383299
381339,385666
381339,389844
381339,385514
381339,387438
381339,385625
385741,384834
385741,384815
385741,388464
385741,396355
385741,383299
385741,385666
385741,389844
385741,385514
385741,387438
385741,385625
393093,384834
393093,384815
393093,388464
393093,396355
393093,383299
393093,385666
393093,389844
393093,385514
393093,387438
393093,385625
386017,384834
386017,384815
386017,388464
386017,396355
386017,383299
386017,385666
386017,389844
386017,385514
386017,387438
386017,385625
378901,384834
378901,384815
378901,388464
378901,396355
378901,383299
378901,385666
378901,389844
378901,385514
378901,387438
378901,385625
382811,384834
382811,384815
382811,388464
382811,396355
382811,383299
382811,385666
382811,389844
382811,385514
382811,387438
382811,385625
385037,391607
385037,393526
385037,386729
385037,394911
385037,393923
385037,389131
385037,393522
385037,391574
385037,389004
385037,391702
387721,391607
387721,393526
387721,386729
387721,394911
387721,393923
387721,389131
387721,393522
387721,391574
387721,389004
387721,391702
387874,391607
387874,393526
387874,386729
387874,394911
387874,393923
387874,389131
387874,393522
387874,391574
387874,389004
387874,391702
385430,391607
385430,393526
385430,386729
385430,394911
385430,393923
385430,389131
385430,393522
385430,391574
385430,389004
385430,391702
389334,391607
389334,393526
389334,386729
389334,394911
389334,393923
389334,389131
389334,393522
389334,391574
389334,389004
389334,391702
386578,391607
386578,393526
386578,386729
386578,394911
386578,393923
386578,389131
386578,393522
386578,391574
386578,389004
386578,391702
386355,391607
386355,393526
386355,386729
386355,394911
386355,393923
386355,389131
386355,393522
386355,391574
386355,389004
386355,391702
382740,391607
382740,393526
382740,386729
382740,394911
382740,393923
382740,389131
382740,393522
382740,391574
382740,389004
382740,391702
387850,391607
387850,393526
387850,386729
387850,394911
387850,393923
387850,389131
387850,393522
387850,391574
387850,389004
387850,391702
387999,391607
387999,393526
387999,386729
387999,394911
387999,393923
387999,389131
387999,393522
387999,391574
387999,389004
387999,391702
382981,388974
382981,388390
382981,389086
382981,385058
382981,386987
382981,381181
382981,393145
382981,386857
382981,390377
382981,388813
383229,388974
383229,388390
383229,389086
383229,385058
383229,386987
383229,381181
383229,393145
383229,386857
383229,390377
383229,388813
383996,388974
383996,388390
383996,389086
383996,385058
383996,386987
383996,381181
383996,393145
383996,386857
383996,390377
383996,388813
382763,388974
382763,388390
382763,389086
382763,385058
382763,386987
382763,381181
382763,393145
382763,386857
382763,390377
382763,388813
384258,388974
384258,388390
384258,389086
384258,385058
384258,386987
384258,381181
384258,393145
384258,386857
384258,390377
384258,388813
381986,388974
381986,388390
381986,389086
381986,385058
381986,386987
381986,381181
381986,393145
381986,386857
381986,390377
381986,388813
381343,388974
381343,388390
381343,389086
381343,385058
381343,386987
381343,381181
381343,393145
381343,386857
381343,390377
381343,388813
384253,388974
384253,388390
384253,389086
384253,385058
384253,386987
384253,381181
384253,393145
384253,386857
384253,390377
384253,388813
384871,388974
384871,388390
384871,389086
384871,385058
384871,386987
384871,381181
384871,393145
384871,386857
384871,390377
384871,388813
380883,388974
380883,388390
380883,389086
380883,385058
380883,386987
380883,381181
380883,393145
380883,386857
380883,390377
380883,388813
387459,387993
387459,389785
387459,396193
387459,389263
387459,392294
387459,394245
387459,393062
387459,397035
387459,390621
387459,390403
383096,387993
383096,389785
383096,396193
383096,389263
383096,392294
383096,394245
383096,393062
383096,397035
383096,390621
383096,390403
387437,387993
387437,389785
387437,396193
387437,389263
387437,392294
387437,394245
387437,393062
387437,397035
387437,390621
387437,390403
387558,387993
387558,389785
387558,396193
387558,389263
387558,392294
387558,394245
387558,393062
387558,397035
387558,390621
387558,390403
381849,387993
381849,389785
381849,396193
381849,389263
381849,392294
381849,394245
381849,393062
381849,397035
381849,390621
381849,390403
386691,387993
386691,389785
386691,396193
386691,389263
386691,392294
386691,394245
386691,393062
386691,397035
386691,390621
386691,390403
384379,387993
384379,389785
384379,396193
384379,389263
384379,392294
384379,394245
384379,393062
384379,397035
384379,390621
384379,390403
385481,387993
385481,389785
385481,396193
385481,389263
385481,392294
385481,394245
385481,393062
385481,397035
385481,390621
385481,390403
384644,387993
384644,389785
384644,396193
384644,389263
384644,392294
384644,394245
384644,393062
384644,397035
384644,390621
384644,390403
389559,387993
389559,389785
389559,396193
389559,389263
389559,392294
389559,394245
389559,393062
389559,397035
389559,390621
389559,390403
394968,390748
394968,395594
394968,395130
394968,395666
394968,388461
394968,393651
394968,391064
394968,392793
394968,390642
394968,388680
391217,390748
391217,395594
391217,395130
391217,395666
391217,388461
391217,393651
391217,391064
391217,392793
391217,390642
391217,388680
387797,390748
387797,395594
387797,395130
387797,395666
387797,388461
387797,393651
387797,391064
387797,392793
387797,390642
