exchange,transpose
132441,133120
124601,124897
121320,122804
125733,127786
123237,127193
123999,128567
128265,128654
128097,128808
126898,128461
130533,131885
382424,392741
389157,390354
386442,395570
389172,396566
385647,393705
392252,399498
395693,402132
405255,410607
391708,397401
395425,404325
1269317,1290251
1293932,1313275
1312962,1335682
1282337,1288662
1270080,1286065
1272827,1299937
1283474,1311333
1289370,1303796
1267706,1307708
1298717,1305171
