insert,exchange
128971,132441
122456,124601
119677,121320
124225,125733
122685,123237
123706,123999
125791,128265
126583,128097
126071,126898
128066,130533
376889,382424
387798,389157
382486,386442
388102,389172
384147,385647
389405,392252
391681,395693
399975,405255
387938,391708
394251,395425
1256445,1269317
1280410,1293932
1307778,1312962
1273303,1282337
1253176,1270080
1272029,1272827
1281609,1283474
1274096,1289370
1267672,1267706
1288140,1298717
