exchange,transpose
132577,133120
124777,124902
121025,122804
125215,127915
122388,127193
124603,128567
128365,128654
127894,128808
125710,128461
129605,131885
381472,392741
387933,390547
384494,395570
388452,396566
385498,393740
390511,399498
390497,402132
398770,410607
387238,397401
393307,404771
1256215,1290973
1283629,1313275
1295073,1334478
1282702,1288662
1252625,1286518
1258470,1300126
1270436,1311358
1272271,1303796
1271977,1307808
1289486,1305309
