insert,transpose
129026,133120
121867,124902
119860,122804
124131,127915
123114,127193
122880,128567
125894,128654
127628,128808
125083,128461
127732,131885
378507,392741
383467,390547
381589,395570
383859,396566
382997,393740
387937,399498
387163,402132
395496,410607
385894,397401
390517,404771
1256990,1290973
1274003,1313275
1296646,1334478
1270872,1288662
1252516,1286518
1257264,1300126
1268534,1311358
1266187,1303796
1266292,1307808
1278573,1305309
