insert,exchange
129026,132577
121867,124777
119860,121025
124131,125215
123114,122388
122880,124603
125894,128365
127628,127894
125083,125710
127732,129605
378507,381472
383467,387933
381589,384494
383859,388452
382997,385498
387937,390511
387163,390497
395496,398770
385894,387238
390517,393307
1256990,1256215
1274003,1283629
1296646,1295073
1270872,1282702
1252516,1252625
1257264,1258470
1268534,1270436
1266187,1272271
1266292,1271977
1278573,1289486
