first,best
123987,126240
123987,126498
123987,126885
123987,126161
123987,126647
123987,124724
123987,126953
123987,127750
124576,125764
124576,125543
124576,126240
124576,126498
124576,126885
124576,126161
124576,126647
124576,124724
124576,126953
124576,127750
125544,125764
125544,125543
125544,126240
125544,126498
125544,126885
125544,126161
125544,126647
125544,124724
125544,126953
125544,127750
123957,125764
123957,125543
123957,126240
123957,126498
123957,126885
123957,126161
123957,126647
123957,124724
123957,126953
123957,127750
124384,125764
124384,125543
124384,126240
124384,126498
124384,126885
124384,126161
124384,126647
124384,124724
124384,126953
124384,127750
125335,125764
125335,125543
125335,126240
125335,126498
125335,126885
125335,126161
125335,126647
125335,124724
125335,126953
125335,127750
124007,125764
124007,125543
124007,126240
124007,126498
124007,126885
124007,126161
124007,126647
124007,124724
124007,126953
124007,127750
126340,128947
126340,129489
126340,131823
126340,130102
126340,132248
126340,130269
126340,130358
126340,127195
126340,128290
126340,127329
126959,128947
126959,129489
126959,131823
126959,130102
126959,132248
126959,130269
126959,130358
126959,127195
126959,128290
126959,127329
126946,128947
126946,129489
126946,131823
126946,130102
126946,132248
126946,130269
126946,130358
126946,127195
126946,128290
126946,127329
127330,128947
127330,129489
127330,131823
127330,130102
127330,132248
127330,130269
127330,130358
127330,127195
127330,128290
127330,127329
126705,128947
126705,129489
126705,131823
126705,130102
126705,132248
126705,130269
126705,130358
126705,127195
126705,128290
126705,127329
127421,128947
127421,129489
127421,131823
127421,130102
127421,132248
127421,130269
127421,130358
127421,127195
127421,128290
127421,127329
126879,128947
126879,129489
126879,131823
126879,130102
126879,132248
126879,130269
126879,130358
126879,127195
126879,128290
126879,127329
127072,128947
127072,129489
127072,131823
127072,130102
127072,132248
127072,130269
127072,130358
127072,127195
127072,128290
127072,127329
126967,128947
126967,129489
126967,131823
126967,130102
126967,132248
126967,130269
126967,130358
126967,127195
126967,128290
126967,127329
127100,128947
127100,129489
127100,131823
127100,130102
127100,132248
127100,130269
127100,130358
127100,127195
127100,128290
127100,127329
128099,128861
128099,130495
128099,130036
128099,128032
128099,130146
128099,128507
128099,128805
128099,127686
128099,129431
128099,129808
127115,128861
127115,130495
127115,130036
127115,128032
127115,130146
127115,128507
127115,128805
127115,127686
127115,129431
127115,129808
127652,128861
127652,130495
127652,130036
